ESTILO;UNIDADES;DEPARTAMENTO
100001;4;743
100003;3;743
100004;22;743
100008;6;743
100012;5;649
100014;13;649
100016;17;649
100017;7;649
100021;7;649
100045;9;649
100046;6;649
100047;5;700
100051;10;700
100053;34;700
100058;6;700
100062;6;649
100065;15;700
100066;28;700
100071;1;700
100073;8;700
100075;20;700
100147;17;649
100148;25;649
100153;23;649
100163;24;649
100170;11;649
100177;18;649
100194;23;649
100208;18;649
100226;7;649
100338;2;623
100346;13;704
100348;1;704
100349;75;724
100350;62;724
100352;41;724
100355;14;669
100357;2;649
100410;40;644
100416;10;626
100418;2;626
100428;6;724
100429;6;724
100430;8;724
100431;9;724
100434;8;724
100445;59;722
100447;150;722
100460;8;724
100470;149;701
100538;13;730
100539;12;730
100541;19;730
100542;24;730
100543;19;730
100545;3;723
100559;1;723
100590;2;730
100591;10;730
100593;1;730
100594;10;730
100604;2;730
100605;9;730
100607;18;730
100608;3;730
100609;2;730
100610;2;730
100611;13;730
100613;18;730
100614;5;730
100615;20;730
100616;14;730
100617;23;730
100619;1;730
100624;11;730
100625;2;730
100628;10;730
100629;9;730
100630;5;730
100657;9;702
100700;34;730
100739;1;702
100767;1;602
100775;2;602
100776;11;602
100777;12;602
100780;1;602
100782;5;661
100784;6;661
100785;13;661
100786;12;661
100787;13;661
100788;13;661
100789;14;661
100790;12;661
100791;16;646
100792;11;646
100793;9;646
100794;11;646
100795;13;646
100796;13;646
100798;14;646
100799;15;646
100800;11;646
100802;12;646
100803;12;646
100804;43;646
100805;10;646
100891;19;649
100892;24;649
100895;12;649
100897;19;649
100899;7;646
100900;10;646
100903;1;646
100904;7;646
100905;9;646
100907;11;646
100910;8;646
100911;9;646
100953;5;733
100956;3;733
100959;18;733
100960;1;733
100965;3;733
100967;3;733
100969;2;733
100970;1;733
100972;4;733
100992;9;649
101000;6;649
101054;1;640
101080;17;661
101085;1;661
101087;16;661
101090;14;661
101112;34;721
101130;65;721
101141;30;721
101143;31;721
101155;33;721
101156;45;721
101163;6;721
101171;5;721
101172;3;721
101173;33;721
101177;7;721
101190;28;721
101194;11;700
101196;8;700
101198;9;700
101221;9;721
101244;12;721
101364;4;664
101377;12;649
101395;14;664
101436;1;603
101460;10;605
101478;7;721
101479;10;721
101480;18;721
101481;1;721
101484;65;721
101489;2;721
101491;6;721
101548;1;680
101566;6;724
101569;2;721
101572;22;721
101575;3;721
101588;8;721
101593;6;724
101597;16;724
101603;4;721
101606;13;721
101611;1;721
101614;9;721
101617;18;721
101685;19;721
101686;16;721
101687;15;721
101688;2;721
101690;3;721
101698;13;721
101709;8;721
101777;1;725
101779;1;725
101797;1;721
101806;12;721
101808;1;721
101812;9;721
101819;1;721
101835;7;721
101836;13;721
101838;8;721
101840;10;721
101863;7;721
101864;7;721
101868;12;721
101873;13;721
101878;1;662
101879;1;662
101898;8;721
101900;8;721
101902;10;721
101906;9;721
101908;32;742
101925;3;647
102124;10;730
102125;77;730
102126;95;730
102128;1;667
102129;2;667
102131;4;667
102133;2;667
102134;5;667
102135;2;667
102136;4;667
102137;1;667
102139;12;667
102140;7;667
102141;10;667
102142;5;667
102152;5;667
102158;32;730
102165;116;730
102166;146;730
102168;21;730
102169;16;730
102208;1;721
102209;2;721
102210;4;721
102248;53;730
102253;11;730
102255;4;730
102256;8;730
102257;1;680
102261;50;730
102262;64;730
102269;1;649
102299;36;642
102397;1;726
102398;32;726
102447;40;726
102465;23;726
102478;10;726
102490;29;726
102504;10;646
102509;34;700
102516;32;726
102522;1;662
102529;46;726
102531;34;726
102532;47;726
102534;46;726
102535;37;726
102542;16;726
102544;8;726
102558;4;726
102562;9;726
102566;22;726
102569;22;726
102572;43;726
102573;11;726
102599;10;726
102600;3;726
102601;1;726
102602;13;726
102603;10;726
102604;2;726
102608;35;726
102610;5;726
102612;1;726
102613;10;726
102616;6;726
102617;3;726
102623;4;726
102627;6;726
102628;70;726
102629;51;726
102642;6;726
102643;15;726
102644;32;726
102645;30;726
102649;7;726
102674;15;726
102675;18;726
102677;11;726
102679;13;726
102680;12;726
102681;17;726
102682;2;682
102687;20;726
102699;4;726
102705;3;726
102711;10;726
102717;22;726
102723;20;726
102732;5;726
102737;8;726
102738;17;726
102741;5;726
102742;33;726
102743;4;682
102744;36;726
102746;7;726
102749;6;726
102754;11;726
102757;3;726
102760;23;726
102761;17;726
102792;30;702
102793;20;702
102794;17;702
102796;5;702
102799;49;731
102822;30;730
102833;74;730
102836;15;661
102848;10;665
102858;16;665
102859;16;665
102861;16;661
102875;6;742
102879;8;730
102888;53;701
102931;23;730
102936;25;701
102941;69;730
102947;41;701
103000;8;742
103029;14;665
103030;17;665
103031;21;665
103036;5;742
103043;1;742
103044;10;742
103045;8;742
103051;4;742
103054;5;742
103065;1;625
103078;2;625
103221;11;743
103222;3;743
103303;9;743
103390;117;701
103407;1;647
103514;11;725
103541;8;726
103545;5;726
103549;12;726
103558;3;726
103559;7;726
103561;8;726
103563;4;726
103565;11;726
103567;53;726
103568;16;726
103569;17;726
103573;7;702
103574;4;726
103575;12;702
103578;11;726
103581;8;726
103611;15;702
103769;32;704
103770;11;704
103785;120;726
103786;132;726
103787;98;726
103788;35;726
103789;92;726
103791;77;726
103792;39;726
103794;20;726
103795;30;726
103796;160;726
103797;32;726
103798;10;726
103799;20;726
103800;20;726
103801;16;726
103804;12;726
103806;12;726
103808;6;726
103810;12;726
103811;16;726
103830;1;724
103845;6;664
103847;13;664
103848;31;664
103849;27;664
103850;47;664
104299;2;701
104300;3;701
104302;3;701
104304;1;701
104305;3;701
104309;3;701
104310;3;701
104311;4;701
104314;3;701
104315;5;701
104316;3;701
104317;3;701
104318;3;701
104320;3;701
104321;2;701
104322;3;701
104323;40;701
104329;5;701
104331;6;701
104333;4;701
104334;38;700
104335;4;743
104336;2;743
104339;8;743
104340;38;700
104344;4;743
104345;31;700
104348;5;743
104352;5;743
104354;3;743
104359;24;700
104362;3;700
104364;36;700
104365;38;700
104372;36;700
104375;38;700
104399;4;700
104414;42;730
104415;39;730
104418;29;730
104419;59;730
104422;75;730
104425;81;730
104427;61;730
104434;16;730
104437;8;730
104438;9;730
104439;9;730
104440;58;730
104442;30;730
104443;45;730
104444;5;649
104448;10;722
104449;19;730
104450;27;730
104451;10;730
104452;27;730
104454;75;730
104461;12;646
104467;1;603
104468;2;602
104472;9;602
104473;2;602
104474;6;602
104475;5;602
104477;15;661
104478;7;661
104479;7;661
104481;3;661
104482;15;661
104484;14;661
104485;11;661
104487;14;661
104488;18;646
104489;11;646
104490;5;649
104494;1;649
104495;1;649
104497;1;649
104499;1;649
104540;85;726
104552;10;667
104556;11;667
104560;19;667
104563;14;667
104570;1;626
104571;1;626
104572;6;626
104575;2;626
104577;4;626
104580;6;626
104581;45;731
104585;3;683
104612;1;664
104625;1;664
104631;32;721
104632;21;721
104634;4;626
104645;6;626
104646;5;626
104647;3;626
104674;1;664
104681;56;730
104685;86;730
104686;4;664
104701;1;703
104707;20;704
104712;123;722
104713;186;722
104714;200;722
104715;18;722
104716;196;722
104717;197;722
104718;196;722
104719;198;722
104720;193;722
104721;197;722
104723;199;722
104724;195;722
104725;198;722
104726;200;722
104727;200;722
104728;200;722
104729;200;722
104730;199;722
104731;151;722
104732;158;722
104733;145;722
104734;160;722
104743;2;723
104745;2;723
104749;2;723
104757;5;723
104758;5;723
104759;5;723
104760;5;723
104761;5;723
104762;5;723
104763;5;723
104773;2;723
104774;2;723
104775;2;723
104777;2;723
104778;2;723
104779;2;723
104786;5;723
104857;71;731
104859;84;731
104860;71;731
104902;1;667
104903;9;667
104904;1;667
104919;1;667
104930;6;667
104931;3;667
104933;3;667
104943;1;667
104944;10;667
104948;4;667
104951;11;667
104955;3;667
104958;2;667
104959;1;667
104962;14;649
104963;15;667
104974;9;667
104975;13;667
104990;2;667
104992;6;667
104994;8;667
104996;36;730
104998;25;730
105000;22;730
105002;32;730
105012;30;730
105013;7;742
105019;24;730
105027;5;742
105031;4;742
105035;5;742
105048;8;702
105051;8;702
105053;137;741
105061;12;661
105063;9;661
105080;10;702
105082;2;702
105083;10;702
105085;16;702
105086;3;702
105087;3;741
105088;2;741
105089;1;702
105091;1;702
105092;2;702
105094;2;702
105095;1;702
105096;2;702
105097;4;702
105098;1;702
105099;2;702
105101;1;702
105105;1;702
105106;1;702
105115;4;702
105117;1;702
105118;1;702
105121;1;702
105126;3;702
105154;3;702
105155;2;702
105157;3;702
105162;1;702
105164;2;702
105211;5;702
105226;36;662
105275;1;721
105343;1;625
105347;1;625
105348;1;625
105349;1;625
105350;1;625
105352;1;625
105355;1;625
105356;1;625
105479;16;730
105481;25;730
105483;46;730
105484;24;730
105486;16;730
105491;1;681
105492;51;730
105495;42;730
105497;33;730
105519;13;703
105553;1;661
105606;10;668
105608;12;626
105610;5;626
105614;64;730
105619;75;730
105693;14;702
105694;20;702
105695;16;702
105702;99;730
105704;15;649
105727;137;730
105728;111;730
105729;18;730
105730;40;669
105731;3;702
105732;2;702
105733;2;702
105747;20;664
105750;19;664
105751;1;664
105770;10;664
105788;1;680
105805;17;743
105837;1;664
105848;10;664
105850;3;664
105854;1;664
105865;3;664
105885;53;730
105934;2;730
105956;4;730
105979;9;728
105980;2;728
105982;9;728
105984;9;728
106052;62;730
106070;14;730
106071;22;730
106072;16;730
106114;15;730
106118;9;730
106124;20;648
106126;20;648
106129;3;649
106183;30;726
106184;12;726
106197;48;726
106203;12;726
106207;13;726
106229;13;726
106236;14;726
106246;8;726
106250;15;726
106256;10;661
106257;3;661
106259;15;661
106260;4;661
106269;1;660
106282;3;667
106291;1;667
106292;4;667
106294;1;667
106295;1;667
106297;23;728
106300;25;728
106301;13;728
106304;26;728
106400;7;668
106401;7;668
106449;197;730
106452;244;730
106456;2;730
106461;193;722
106470;26;602
106471;53;602
106472;30;602
106473;38;602
106474;23;602
106475;6;602
106481;3;602
106482;6;602
106484;7;661
106485;16;661
106486;4;661
106488;8;661
106489;8;646
106490;13;646
106491;10;646
106526;28;721
106527;13;721
106528;3;721
106529;10;721
106530;10;721
106531;8;721
106532;27;721
106533;6;721
106535;23;721
106536;2;721
106557;1;642
106573;357;730
106574;39;730
106755;3;730
106805;13;730
106808;38;730
106825;37;730
106826;48;730
106828;80;730
106831;90;730
106832;44;730
106867;14;640
106891;2;640
106985;2;640
107025;1;603
107055;4;648
107069;20;648
107071;20;648
107072;20;648
107089;34;643
107103;31;643
107123;9;648
107124;3;648
107269;9;669
107270;14;730
107271;10;669
107272;6;669
107273;11;669
107276;107;730
107303;40;730
107304;130;730
107308;24;730
107309;30;730
107314;30;602
107315;32;602
107321;6;665
107322;16;665
107323;14;665
107324;18;665
107325;13;665
107453;42;662
107476;127;662
107481;52;662
107753;36;605
108023;1;682
108032;1;682
108048;9;682
108055;1;682
108085;12;701
108516;21;664
108517;8;664
108518;14;664
108520;6;664
108549;5;721
108552;4;721
108554;9;721
108555;3;721
108556;10;721
108557;1;721
108558;5;721
108559;5;721
108560;5;721
108561;6;721
108580;22;664
108607;14;664
108608;3;664
108692;1;662
108707;1;649
108732;1;649
108770;1;664
108878;10;683
108880;8;683
108889;8;682
108972;7;664
109012;12;664
109030;5;664
109032;3;664
109034;8;664
109066;1;664
109090;20;664
109100;8;664
109101;6;664
109131;5;664
109132;4;664
109135;13;664
109137;1;664
109145;9;664
109157;36;664
109158;38;664
109173;1;664
109175;22;664
109182;7;664
109183;4;664
109195;1;664
109200;1;664
109201;7;664
109203;5;664
109213;10;664
109216;5;664
109226;4;664
109229;6;664
109230;31;664
109232;16;664
109233;18;664
109234;9;664
109241;20;664
109242;10;664
109255;1;669
109256;2;669
109258;2;669
109259;1;669
109267;1;669
109274;2;664
109285;5;721
109305;10;721
109330;1;662
109335;8;662
109337;1;649
109342;1;662
109344;1;662
109346;4;662
109347;4;662
109350;1;662
109354;3;662
109357;1;662
109362;5;662
109394;1;662
109406;66;662
109407;28;662
109408;28;662
109411;2;649
109413;11;667
109417;182;662
109419;10;722
109478;88;649
109479;261;649
109480;87;649
109481;311;649
109486;7;667
109539;16;730
109609;3;701
109720;3;733
109721;1;733
109724;1;733
109727;1;733
109729;1;733
109741;4;733
109742;3;733
109767;47;603
109912;34;742
109914;8;742
109934;38;701
109964;31;701
109965;8;680
109966;11;680
110058;2;741
110063;23;602
110099;2;669
110101;12;669
110103;17;602
110104;11;602
110105;12;602
110106;2;602
110107;18;602
110108;9;602
110109;11;661
110110;18;661
110111;19;661
110114;5;602
110115;6;602
110116;16;602
110118;11;602
110125;2;603
110131;26;730
110132;57;730
110133;120;730
110134;212;730
110160;82;730
110161;17;730
110163;84;730
110164;82;730
110177;5;649
110183;5;649
110202;1;667
110274;5;667
110298;4;667
110303;1;667
110317;3;667
110343;1;667
110353;1;667
110358;9;667
110359;5;667
110369;1;667
110372;3;667
110373;7;667
110376;1;667
110379;1;667
110381;1;667
110382;19;667
110383;1;667
110421;1;667
110456;3;649
110463;5;649
110520;11;668
110526;1;668
110552;16;702
110553;9;702
110610;2;649
110633;3;734
110640;5;734
110650;1;734
110651;1;734
110676;2;660
110685;6;660
110763;12;647
110764;12;647
110770;1;647
110781;11;647
110782;12;647
110797;1;649
110946;2;724
110949;12;724
111211;20;721
111333;3;646
111336;9;646
111337;14;646
111349;1;646
111353;5;646
111360;10;646
111374;114;726
111375;59;726
111377;71;726
111390;24;726
111391;24;726
111406;2;624
111459;21;726
111460;3;726
111462;16;726
111464;14;726
111465;13;726
111466;12;726
111467;11;726
111473;21;726
111482;1;642
111498;17;603
111501;2;603
111502;2;603
111505;5;649
111506;10;649
111569;3;649
111575;3;649
111576;3;649
111594;7;683
111596;10;683
111598;5;683
111618;2;662
111619;1;662
111691;16;660
111720;23;649
111721;23;649
111722;24;649
111724;3;649
111731;14;649
111733;1;721
111743;11;649
111762;19;730
111764;96;730
111766;100;730
111767;28;730
111769;20;730
111779;186;730
111780;38;730
111781;125;730
111782;141;730
111783;195;730
111784;134;730
111785;141;730
111790;2;721
111793;9;721
111878;3;649
111879;3;649
111881;1;649
111884;1;649
111892;3;721
111893;12;721
111895;1;649
111903;9;721
111905;6;721
111920;8;721
111930;2;721
111940;3;721
112067;12;646
112068;10;646
112073;21;603
112083;21;721
112084;14;721
112085;15;721
112086;7;721
112089;22;721
112090;16;721
112180;36;662
112181;192;601
112184;10;601
112186;33;601
112188;87;601
112189;6;601
112190;15;601
112191;33;601
112192;1;601
112193;2;601
112195;37;601
112198;3;601
112199;1;601
112205;4;601
112206;10;601
112207;3;601
112209;6;601
112210;25;601
112211;2;601
112214;2;601
112216;1;601
112217;5;601
112218;3;601
112219;9;601
112220;1;601
112221;16;601
112222;1;601
112223;15;601
112234;37;721
112237;21;721
112239;50;649
112286;79;721
112325;1;664
112367;1;664
112427;26;721
112749;1;741
112775;2;741
112777;31;741
112778;10;700
112781;10;741
112783;42;741
112784;5;741
112785;10;649
112787;1;721
112820;3;602
112821;19;661
112822;2;646
112827;1;603
112829;2;721
112830;12;721
112831;3;721
112832;4;721
112833;18;721
112834;3;721
112835;21;721
112836;9;721
112837;2;721
112838;5;721
112839;4;721
112840;4;721
112843;17;662
112844;10;661
112846;56;662
112849;56;662
112852;43;660
112853;1;661
112873;2;661
112876;34;721
112891;1;661
112896;22;660
112897;10;662
112899;70;662
112900;28;662
112925;10;662
112942;22;662
112947;23;662
112949;24;662
113149;1;681
113154;377;662
113162;197;662
113163;9;721
113164;3;601
113169;39;721
113204;2;601
113205;1;721
113208;305;662
113216;24;662
113219;12;662
113220;4;721
113222;2;721
113223;13;721
113224;5;721
113226;16;721
113227;2;721
113229;49;662
113230;19;721
113231;5;721
113232;11;721
113233;12;721
113234;19;721
113235;37;721
113236;40;662
113238;39;721
113239;12;721
113240;12;721
113241;2;661
